reg|fecha|Sexo|Edad|entra|codcol|colegio|Inicial|Primaria|Secundaria|directiva|p5_1|depto|muni1|muni2|muni3|muni4|muni5|muni0|p7_1|p7_2|p7_3|p7_4|p7_5|p7_6|p7_7|p7_8|p7_9|p7_10|p7_11|p7_12|p7_13|p7_14|p7_15|p8_1|p8_2|p8_3|p8_4|p8_5|p8_6|p9_1|p9_2|p9_3|p9_4|p9_5|p10_1|p10_2|p10_3|p10_4|p10_5|p10_6|p10_7|p10_8|p10_9|p10_10|p10_11|p10_12|p10_13|p11_1|p11_2|p11_3|p11_4|p11_5|p11_6|p11_7|p11_8|p12_1|p12_2|p12_3|p13_1|p13_2|p13_3|p13_4|p13_5|p14|p15_1|p15_2|p15_3|p15_4|p15_5|p15_6|p15_7|p15_8|p15_9|p16_1|p16_2|p16_3|p16_4|p16_5|p16_6|p16_7|p16_8|p16_9|p17|p18_1|p18_2|p18_3|p18_4|p18_5|p18_6|p18_7|p18_8|p18_9|p18_10|p18_11|p19|p20|P14_1|P14_2|P14_3|P14_4|P14_5|P17_1|P17_2|P17_3|P19_1|P19_2|P19_3|P20_1|donante|cono1|cono1_a|cono1_b|rp15_3|rp15_6|rp15_7|rp15_8|rp15_9|acti1|acti1_a|rp16_1|rp16_2|rp16_3|rp16_4|rp16_5|rp16_6|rp16_7|rp16_8|rp16_9|rp18_1|rp18_2|rp18_3|rp18_4|rp18_5|rp18_6|rp18_7|rp18_8|rp18_9|rp18_10|rp18_11|practi1|practi1_a|practi1_b|ESTADO CAP
11|26-May-21|Hombre|43|1|Luz y Saber  I|Luz y saber I|1|1|1|0|98|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Derechos de las niñas, niños adolescentes|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|No|No|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|5|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Madres y Padres|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Falso|#NULL!|En desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Más o menos de acuerdo|Más o menos de acuerdo|En desacuerdo|Algunas veces|Algunas veces|Siempre|Nunca|Siempre|Siempre|Siempre|Siempre|Nunca|#NULL!|Siempre|Siempre|Siempre|Nunca|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Ablar con los profesores|Si aconsejan|Timidez/Vergonzoso|11|12|0|0|Acudir a las Autoridades|0|0|Buscar dialogo/ Habla con Maestro|0|0|Aconsejan/ Hablan con NNA|F Globales|20|44.444444|Medio|3|4|3|3|4|53.333333|Intermedia|2|2|3|1|3|3|3|3|1|0|3|3|1|3|3|3|3|3|3|3|31|46.268657|Más o menos adecuadas|Inicial
12|26-May-21|Hombre|43|1|Luz y Saber  I|Luz y saber|1|1|1|0|98|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Instituciones que protegen a niñas, niños y adolescentes|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|Sí|No|No|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Insultos|3|4|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Madres y Padres|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy en desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|Muy en desacuerdo|De acuerdo|De acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy en desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Ablar con los maestros|0|Tristeza|6|12|0|0|Acudir a las Autoridades|0|0|Buscar dialogo/ Habla con Maestro|0|0|NS/NR|F Globales|20|44.444444|Medio|3|2|5|1|5|51.111111|Intermedia|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|23|34.328358|Poco adecuadas|Inicial
14|26-May-21|Hombre|59|1|Ecológico Baden Powel|Ecológico Baden Powell|0|1|1|Presidenta|1|La Paz|0|0|20105. El Alto|0|0|El Alto|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|3|5|6|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|6|7|8|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Nunca|Siempre|Algunas veces|Siempre|Llamar la atención al profesor y hacer saber del caso al director|0|Timidez/Vergonzoso|4|5|0|0|Acudir a las Autoridades|0|0|Denunciar en el Colegio/ Dirección|6|0|NS/NR|F Globales|40|88.888889|Muy alto|3|4|4|3|3|82.222222|Altamente positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|1|3|2|3|26|38.80597|Poco adecuadas|Inicial
15|27-May-21|Hombre|34|1|Villa Rosario I|Villa Rosario turno tarde|0|2|0|Presidenta de la junta escolar|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|6|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Insultos|10|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Muy de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Ver el problemas desde la raiz y tratar de tomar la mejor desicion respecto al profesor y que no vuelva ha ocurrir el problema|Organizacion de una feria sobre la violencia de los niños as con todo los alumnos del colegio|Cambio actitud/ humor|0|0|0|0|Buscar pruebas/ Buscar responsable|0|0|Analizar el tema / Investigar|0|0|Ferias contra Violencia|NC Canada|25|55.555556|Medio|4|4|4|4|1|82.222222|Altamente positiva|3|3|3|3|3|3|3|3|3|0|2|2|2|2|2|2|2|2|2|2|34|50.746269|Más o menos adecuadas|Inicial
16|28-May-21|Mujer|44|1|Juancito Pinto|U. E. Juancito Pinto|0|1|1|Presidente|1|Santa Cruz|0|0|0|0|71001. Montero|Montero|Leyes o normas de prevención de la violencia|3|4|#NULL!|5|6|#NULL!|7|8|9|10|11|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Verdadero|Verdadero|Verdadero|#NULL!|De acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|Muy en desacuerdo|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Nunca|#NULL!|Siempre|Nunca|Nunca|Nunca|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Normalmente seguimos los pasos que nos han explicado en una capacitación. Avisar al director, distrital departamental para que destituyan al maestro|Control de horario a clases, entrada y salida. Con la portera nos comunicamos si vé cualquier caso sospechoso para derivar a la directora, maestros o padres.|Timidez/Vergonzoso|8|12|13|0|Proceso Judicial / Busco Justicia|0|0|Denunciar en el Colegio/ Dirección|3|0|Control en la UE|F Globales|40|88.888889|Muy alto|4|5|5|3|5|91.111111|Altamente positiva|2|3|3|3|3|3|3|3|1|0|1|1|1|3|3|3|3|3|3|3|33|49.253731|Más o menos adecuadas|Inicial
17|28-May-21|Hombre|34|1|San Ramón de la Víbora (primaria AM)|U. E. San Ramón de la víbora|1|1|0|Presidente|1|Santa Cruz|0|0|0|0|71001. Montero|Montero|Derechos de las niñas, niños adolescentes|#NULL!|9|10|11|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|8|9|#NULL!|10|11|12|#NULL!|Maestro o Maestra|2|3|4|6|7|8|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy en desacuerdo|Muy en desacuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Nunca|Nunca|Algunas veces|Siempre|Siempre|Nunca|Siempre|Algunas veces|Nunca|Nunca|Hablar con la directora y comentar la inquietud|No recuerdo alguna|Timidez/Vergonzoso|3|0|0|0|Ayudarlo / Buscar Ayuda Psicológica|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|F Globales|38|84.444444|Muy alto|5|4|5|5|2|91.111111|Altamente positiva|3|3|3|3|3|3|2|3|3|0|1|1|2|3|3|1|3|2|1|1|36|53.731343|Más o menos adecuadas|Inicial
18|28-May-21|Mujer|32|1|Luz y Saber  I|Luz y Saber I|0|0|2|Presidente|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|No|Insultos|3|5|6|9|#NULL!|10|11|12|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy en desacuerdo|Más o menos de acuerdo|En desacuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|denunciar a las autoridades correspondientes el echo|0|Miedo|5|0|0|0|Denunciar al Agresor|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|F Globales|33|73.333333|Alto|3|3|5|3|4|84.444444|Altamente positiva|3|2|3|3|3|3|3|3|3|0|2|3|3|3|3|2|3|3|3|3|26|38.80597|Poco adecuadas|Inicial
19|31-May-21|Hombre|50|1|15 de Abril|15 de abri|0|0|2|Junta escolar|5|La Paz|0|0|20105. El Alto|0|0|El Alto|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Verdadero|Verdadero|Verdadero|Verdadero|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Denunciar|0|NS/NR|0|0|0|0|Denunciar al Agresor|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|F Globales|34|75.555556|Alto|3|3|1|3|1|68.888889|Positiva|3|3|3|3|3|3|2|3|3|0|2|3|2|3|3|3|3|3|3|2|27|40.298507|Más o menos adecuadas|Inicial
20|31-May-21|Hombre|38|1|Virgen de Urkupiña (TT)|Vírgen de urkupiña|1|1|1|Presidente|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Insultos|3|4|5|6|9|#NULL!|10|11|12|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|4|5|6|8|#NULL!|#NULL!|Sí|Sí|No|Falso|Falso|Verdadero|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|En desacuerdo|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|#NULL!|Algunas veces|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Denunciar ante la directora y luego ante defensoría|0|Timidez/Vergonzoso|3|10|0|0|Denunciar al Agresor|0|0|Denunciar en el Colegio/ Dirección|5|0|NS/NR|NC Canada|35|77.777778|Alto|4|5|5|3|4|91.111111|Altamente positiva|2|3|3|3|3|3|3|2|3|0|2|3|2|3|3|3|3|3|2|3|29|43.283582|Más o menos adecuadas|Inicial
22|1-Jun-21|Mujer|38|1|Boliviano Japonés B|U. E. Boliviano Japones|0|1|1|Presidente Junta Escolar|1|La Paz|0|0|20105. El Alto|0|0|El Alto|Derechos de las niñas, niños adolescentes|#NULL!|7|8|9|10|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|9|#NULL!|10|11|12|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Verdadero|Falso|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|De acuerdo|De acuerdo|Muy en desacuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Muy en desacuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|Siempre|#NULL!|Siempre|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Siempre|Algunas veces|Primero lo primero tenemos que saber que fue lo que paso para que el profe reaccionara de esa manera|0|Aleja de grupo /aisla|9|13|0|0|Hablar/ganarse confianza|0|0|Analizar el tema / Investigar|0|0|NS/NR|F Globales|36|80|Alto|4|5|3|3|5|84.444444|Altamente positiva|3|2|3|3|3|2|2|2|3|0|3|2|3|3|3|3|2|2|3|2|30|44.776119|Más o menos adecuadas|Inicial
23|1-Jun-21|Hombre|44|1|Juan Pablo II|Juan Pablo ll|0|1|2|No ninguna|96|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|3|4|#NULL!|5|6|#NULL!|7|9|10|11|12|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|El personal administrativo|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Verdadero|#NULL!|De acuerdo|De acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Nunca|Siempre|Siempre|#NULL!|Nunca|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Siempre|Siempre|Hay que denunciar|.|Miedo|5|0|0|0|Denunciar al Agresor|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|NC Canada|31|68.888889|Alto|4|4|4|4|4|84.444444|Altamente positiva|3|3|3|3|3|3|1|3|3|0|2|2|2|2|2|2|2|2|3|3|34|50.746269|Más o menos adecuadas|Inicial
24|1-Jun-21|Hombre|39|1|Juan Pablo II|Juan Pablo ll|0|0|2|Representante de 6 sec - vicepresidenta|5|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|4|#NULL!|6|#NULL!|7|9|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|No|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|3|5|6|9|#NULL!|10|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Falso|Verdadero|Verdadero|Falso|#NULL!|De acuerdo|De acuerdo|Más o menos de acuerdo|De acuerdo|De acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|#NULL!|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Siempre|Ir a la dirección|0|Cambio actitud/ humor|0|0|0|0|Denunciar al Agresor|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|NC Canada|26|57.777778|Medio|3|3|3|3|3|68.888889|Positiva|3|2|3|3|3|3|3|2|3|0|3|2|3|3|3|2|2|2|2|3|30|44.776119|Más o menos adecuadas|Inicial
25|2-Jun-21|Hombre|20|1|Juan Pablo II|Juan Pablo II|1|0|0|Presidente|1|La Paz|0|0|20101. La Paz|0|0|La Paz|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Insultos|5|6|9|#NULL!|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Nunca|Hablar con las autoridades máximas de la institución y cambiar de profesor a los niños|0|Callados|8|0|0|0|Ayudarlo / Buscar Ayuda Psicológica|9|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|NC Canada|34|75.555556|Alto|5|5|1|5|5|91.111111|Altamente positiva|3|3|3|3|3|3|3|3|3|0|1|1|1|1|1|1|1|1|1|1|45|67.164179|Adecuadas|Inicial
26|2-Jun-21|Hombre|33|1|Chasquipampa C|Chasquipampa «C »nivel inicial|0|3|3|Junta escolar|5|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|9|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|Sí|No|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Comentarios ofensivos, amenazas o insultos en redes sociales|#NULL!|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|4|5|6|7|8|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Verdadero|#NULL!|Muy en desacuerdo|Muy en desacuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|De acuerdo|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Como Junta escolar y dirección hacemos el control y el diálogo con la maestra y el padre de familia y escuchar ambas partes si es muy grave pues se la hace una denuncia ala maestra .y si hay aclaración la maestra debe hacer un compromiso  y que no se repita la situación.|Como Junta escolar siempre tratamos de dar talleres a los padres de familia ante el respeto entre todas las personas .y el trato  de los niños ,niñas y adolescentes.|Aleja de grupo /aisla|4|10|14|0|Ayudarlo / Buscar Ayuda Psicológica|8|9|Buscar dialogo/ Habla con Maestro|3|0|Talleres sobre Bulling/ violencia|NC Canada|26|57.777778|Medio|1|1|1|1|2|22.222222|Negativa|2|3|3|3|3|3|3|2|3|0|3|3|3|3|3|3|3|3|3|3|28|41.791045|Más o menos adecuadas|Inicial
27|2-Jun-21|Hombre|46|1|Simón Bolivar|Simón Bolivar|1|1|1|Presidente|1|Pando|0|0|0|90101. Cobija|0|Cobija|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|4|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|5|6|9|#NULL!|11|12|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|4|5|6|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|De acuerdo|Muy de acuerdo|Más o menos de acuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Se analiza la situación hace conocer a la dirección de la U.E y luego se denuncia a las entidades competentes|"Talleres 
Charlas educativas
Capasitación"|Tristeza|13|0|0|0|Acudir a las Autoridades|0|0|Denunciar en el Colegio/ Dirección|3|7|Talleres sobre Bulling/ violencia|KOICA|33|73.333333|Alto|3|2|1|3|2|68.888889|Positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|25|37.313433|Poco adecuadas|Inicial
28|2-Jun-21|Hombre|34|1|Juan Pablo II|JUAN PABLO II|0|1|1|NINGUNO|96|La Paz|0|0|20101. La Paz|0|0|La Paz|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|No|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Madres y Padres|7|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|De acuerdo|Más o menos de acuerdo|Muy de acuerdo|Más o menos de acuerdo|En desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|En desacuerdo|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|#NULL!|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Nunca|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Denunciar|0|Timidez/Vergonzoso|0|0|0|0|Denunciar al Agresor|7|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|NC Canada|30|66.666667|Alto|3|4|5|3|4|80|Positiva|2|2|3|3|3|3|3|2|3|0|2|2|2|2|2|1|2|2|2|2|38|56.716418|Más o menos adecuadas|Inicial
29|2-Jun-21|Mujer|47|1|Juan Pablo II|Juan Pablo II|0|1|1|Presidente de 6 de secundaria|1|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|3|5|6|#NULL!|7|9|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Insultos|3|5|6|8|9|#NULL!|10|11|12|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|De acuerdo|En desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|En desacuerdo|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Algunas veces|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Dar parte a las autoridades|.|Timidez/Vergonzoso|3|12|0|0|Acudir a las Autoridades|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|NC Canada|36|80|Alto|3|4|5|3|4|84.444444|Altamente positiva|2|2|3|3|3|3|2|3|2|0|3|3|3|3|3|2|2|3|3|3|28|41.791045|Más o menos adecuadas|Inicial
